Taille;Min_Time
10000;1451
20000;2461
30000;4430
40000;5994
50000;7491
60000;9176
70000;10778
80000;12428
90000;13916
100000;15500
110000;17337
120000;18923
130000;20309
140000;22272
150000;24156
160000;25609
170000;27410
180000;28736
190000;30284
200000;31972
210000;34121
220000;35891
230000;37395
240000;39118
250000;40709
260000;42132
270000;43980
280000;46083
290000;47964
300000;49771
310000;51357
320000;52903
330000;54515
340000;56410
350000;58114
360000;59571
370000;61384
380000;62752
390000;65163
400000;66591
410000;68676
420000;73011
430000;74296
440000;74422
450000;76057
460000;77597
470000;80032
480000;81288
490000;82641
500000;84415
510000;86111
520000;87445
530000;89171
540000;92859
550000;100804
560000;97026
570000;102152
580000;99872
590000;106655
600000;103273
610000;106717
620000;107107
630000;108151
640000;110140
650000;111225
660000;113019
670000;115145
680000;116915
690000;118639
700000;120181
710000;122215
720000;123719
730000;125611
740000;267946
750000;128924
760000;262813
770000;117525
780000;170734
790000;134890
800000;137339
810000;139723
820000;142007
830000;144223
840000;127976
850000;148141
860000;149902
870000;152055
880000;288623
890000;155606
900000;157529
910000;158882
920000;160183
930000;162482
940000;373817
950000;166214
960000;167977
970000;169889
980000;134653
990000;176222
1000000;174996
